Domains,Revenue,Employees,Industry,Class,Discover - Events,Discover - Overall Score,Event Count
uzgent.be,57000,685,Hospitals & Physicians Clinics,1,"Type: *** Discover Insider ***
Event: Director Mgr IT of Uzgent told us they were looking into 'Security.
",Good,0
its.jnj.com,94943000,152700,Manufacturing,1,"Type: *** Discover Insider ***
Event: Product Owner Manager Information Technology of Its told us they were looking into 'Backup/recovery performance within the next 3 - 6 months.
",Good,0
multipharma.be,98855,412,Retail,1,,Good,0
chu-brugmann.be,96750,680,Hospitals & Physicians Clinics,1,,Good,0
chrsm.be,54577,291,Manufacturing,1,,Good,0
iris-hopitaux.be,28487,21,Finance,1,,Good,0
armonea.be,464056,8341,Hospitals & Physicians Clinics,1,,Good,0
acis-group.org,13625,16,Organizations,1,,Good,0
azdamiaan.be,2020932,1301,Manufacturing,1,"Type: *** Discover Insider ***
Event: Director Of Information Technology of Azdamiaan, is interested in 7 Critical Reasons for Microsoft 365 Backup in Belgium.
",Good,0
azdelta.be,425700,3895,Hospitals & Physicians Clinics,1,,Good,0
azgroeninge.be,448385,2847,Hospitals & Physicians Clinics,1,,Good,0
azjanportaels.be,135558,697,Hospitality,1,"Type: *** Discover Insider ***
Event: Director Mgr IT of Azjanportaels told us they were looking into 'Total cost of ownership.
",Good,0
klina.be,2144,9,Construction,1,,Good,0
azsintblasius.be,219399,925,Hospitals & Physicians Clinics,1,"Type: *** Discover Insider ***
Event: Director Mgr IT of Azsintblasius told us they were looking into 'Hardware lifecycle management.
",Good,0
azsintjan.be,468080,2723,Organizations,1,"Type: *** Discover Insider ***
Event: Director Mgr IT of Azsintjan told us they were looking into 'Hardware lifecycle management.
",Good,0
sezz.be,4228,19,Hospitals & Physicians Clinics,1,,Good,0
azturnhout.be,364096,1937,Hospitals & Physicians Clinics,1,,Good,0
biocartis.com,57909,619,Software,1,"Type: *** Discover Insider ***
Event: Chief Technology Officer of Biocartis, is interested in What's NEW in   Backup for Microsoft 365 v6 in Belgium.
",Good,0
cerbaresearch.com,6093881,68,Manufacturing,1,,Good,0
chc.be,597157,496,Hospitals & Physicians Clinics,1,,Good,0
chirec.be,586865,3439,Hospitals & Physicians Clinics,1,"Type: *** Discover Insider ***
Event: Applications IT Manager of Chirec told us they were looking into 'Data management and protection within the next 6 - 9 months.
",Good,0
chrverviers.be,55047,219,Government,1,,Good,0
stpierre-bru.be,280134,1628,Hospitals & Physicians Clinics,1,,Good,0
chwapi.be,261687,1382,Hospitals & Physicians Clinics,1,,Good,0
croix-rouge.be,35275,149,Government,1,,Good,0
solidaris.be,22333,74,Insurance,1,"Date: 05/07/2023
Type: launches
Event: Solidaris launches ‘Acknowledge Me’ campaign.
URL: https://blog.headoffice.be/solidaris-and-headoffice-want-more-recognition-for-pregnancy-loss",Good,1
emmaus.be,428761,308,Organizations,1,"Type: *** Discover Insider ***
Event: Director Mgr IT of Emmaus told us they were looking into 'Total cost of ownership.
",Good,0
epicura.be,186679,752,Hospitals & Physicians Clinics,1,,Good,0
his-izz.be,10911776,4398,Manufacturing,1,"Type: *** Discover Insider ***
Event: CISO DPO of His Izz told us they were looking into 'moving to cloud within the next 6 - 9 months.
",Good,0
isppc.be,32484,1646,Hospitals & Physicians Clinics,1,,Good,0
chu-charleroi.be,416000,4500,Hospitals & Physicians Clinics,1,,Good,0
yperman.net,230185,1165,Healthcare Services,1,,Good,0
practimed.be,3958,14,Hospitals & Physicians Clinics,1,,Good,0
sterima.be,1049,5,Manufacturing,1,,Good,0
touring.be,125584,283,Hospitality,1,,Good,0
uzbrussel.be,154011,2724,Hospitals & Physicians Clinics,1,,Good,0
vib.be,99769,131,Manufacturing,1,,Good,0
vivalia.be,46863,368,Hospitals & Physicians Clinics,1,"Type: *** Discover Insider ***
Event: IT Deputy Director of Vivalia told us they were looking into 'Compliance or regulatory within the next 3 - 6 months.
",Good,0
zna.be,14681000,6550,Business Services,1,,Good,0
chem.lu,90003,771,Hospitals & Physicians Clinics,1,,Good,0
cerbahealthcare.com,460600,2984,Hospitals & Physicians Clinics,1,"Date: 08/11/2023
Type: hires
Event: Cerba HealthCare will hire Emmanuel Ligner as Chief Executive Officer of the Group on Mar 1st '24.
URL: https://finance.yahoo.com/news/cerba-healthcare-changes-governance-appoints-100800477.html

Date: 20/10/2023
Type: Partners With
Event: Cerba HealthCare partners with Nexusgulf.
URL: https://www.zawya.com/en/press-release/companies-news/cerba-healthcare-and-nexus-gulf-healthcare-announce-strategic-joint-venture-yje6oeee

Date: 06/09/2023
Type: Acquires
Event: Cerba HealthCare acquires Cerba Research.
URL: https://financialpost.com/pmn/business-wire-news-releases-pmn/life-science-cerba-healthcare-to-acquire-canadian-contract-research-laboratory-cirion-biopharma-research-to-expand-bioanalytical-capabilities-and-shorten-time-to-deploy-complex-clinical-trials

Date: 06/09/2023
Type: Acquires
Event: Cerba HealthCare acquired CIRION BioPharma Research Inc. on Sep 7th '23.
URL: https://finance.yahoo.com/news/life-science-cerba-healthcare-acquire-070000845.html

Date: 30/01/2023
Type: Acquires
Event: Cerba HealthCare acquired Viroclinics on Jul 1st '22.
URL: https://finance.yahoo.com/news/central-lab-market-projected-gain-130000737.html",Good,5
