Domains,Industry,Employees,Event Count,Event-split,Class,Discover Overall-Score,Discover - Events
azentio.com,"Education, Colleges & Universities",5000,5,3,1,Good,"Date: 27/10/2023
Type: acquires
Event: Azentio Software acquires PathSolutions, Inc..
URL: https://www.fintechfutures.com/2023/10/sudans-africa-and-gulf-bank-selects-temenos-to-power-digital-transformation/

Date: 08/10/2023
Type: Receives Award
Event: Azentio Software received award awards in three categories at Global BankTech Awards 2023 on Oct 9th '23.
URL: https://www.prnewswire.com/news-releases/azentio-software-wins-three-awards-at-global-banktech-awards-2023-301950638.html

Date: 29/08/2023
Type: Hires
Event: Azentio Software hires Sanjay Singh as Chief Executive Officer.
URL: https://www.prnewswire.com/news-releases/azentio-welcomes-sanjay-singh-as-new-chief-executive-officer-301913077.html

Date: 15/08/2023
Type: Launches
Event: Azentio Software launched ONEERP Cloud on Aug 17th '23.
URL: https://www.latestly.com/agency-news/business-news-azentio-software-unveils-the-next-gen-oneerp-cloud-engineered-to-empower-supply-chain-manufacturing-and-financial-management-5346203.html

Date: 25/07/2023
Type: Launches
Event: Azentio Software launches AML Transaction Monitoring.
URL: https://cioworldasia.com/2023/07/26/azentio-software-earns-noteworthy-solution-recognition-for-aml-transaction-monitoring-in-latest-report/"
saesl.com.sg,Manufacturing,2507,5,2,1,Good,"Date: 07/08/2023
Type: receives_award
Event: Singapore Aero Engine Services Private Limited receives award Aviation Award at SBR National Business Awards 2023.
URL: https://sbr.com.sg/videos/sbr-national-business-awards-2023-winner-singapore-aero-engine-services-private-limited

Date: 31/05/2023
Type: Is Developing
Event: Singapore Aero Engine Services Private Limited is developing MRO capabilities for the next generation.
URL: https://tractus-asia.com/blog/singapore-mro-industry/

Date: 24/05/2023
Type: Launches
Event: Singapore Aero Engine Services Private Limited launches Behavioural Based Safety programme.
URL: https://sbr.com.sg/co-written-partner/event-news/saesl-wins-award-in-aviation-project-amplifying-its-speak-culture

Date: 23/11/2022
Type: Hires
Event: Singapore Aero Engine Services Private Limited hires Kyndryl.
URL: https://www.channelasia.tech/article/703508/transformative-singapore-aero-engine-services-powers-ahead-kyndryl/"
maxeon.com,Manufacturing,4202,5,1,1,Excellent,"Type: *** Discover Insider ***
Event: Chief Information Security Officer of Maxeon, is interested in Microsoft Azure Customer Reference Book - whitepaper in Singapore.


Date: 10/10/2023
Type: Invests Into Assets
Event: Maxeon Solar Technologies Ltd. invested into assets: solar manufacturing facility in the amount of $1B in Albuquerque, New Mexico, United States on Aug 1st '23.
URL: https://asiamattersforamerica.org/articles/new-mexico-governor-michelle-lujan-grisham-visits-taiwan-on-trade-mission

Date: 10/10/2023
Type: Decreases Headcount By
Event: Maxeon Solar Technologies Ltd. will decrease headcount by 750 on Dec 31st '23.
URL: https://www.pv-magazine.com/2023/10/11/maxeon-solar-technologies-to-slash-15-of-global-workforce/

Date: 09/10/2023
Type: Expands Facilities
Event: Maxeon Solar Technologies Ltd. expands facilities to Malaysia.
URL: https://mediaroom.maxeon.com/2023-10-10-Maxeon-Solar-Technologies-provides-Business-Update-and-Announces-Preliminary-Third-Quarter-Revenue-and-Shipment-Results

Date: 06/10/2023
Type: Leaves
Event: Gavin Jacques Elie Adda left Maxeon Solar Technologies Ltd. on Sep 30th '23.
URL: https://www.marketscreener.com/quote/stock/MAXEON-SOLAR-TECHNOLOGIES-110986224/news/Gavin-Jacques-Elie-Adda-Resigns-from-the-Board-of-Directors-of-Maxeon-Solar-Technologies-Ltd-45000638/

Date: 26/09/2023
Type: Launches
Event: Maxeon Solar Technologies Ltd. launches SunPower One ecosystem of products and services.
URL: https://www.prnewswire.com/news-releases/maxeons-sunpower-one-home-energy-solution-now-available-in-europe-and-australia-301940157.html"
monstar-lab.com,"Education, Colleges & Universities",5000,2,0,1,Good,"Date: 22/09/2023
Type: acquires
Event: Monstar Lab Inc acquires Executivesearch.
URL: https://news.outsourceaccelerator.com/monstarlab-ai-recruiting-firm/

Date: 23/07/2023
Type: Partners With
Event: Kyndryl Group partners with Monstar Lab Inc.
URL: https://www.kyndryl.com/us/en/about-us/news/2023/07/digital-transformation-partnership-with-monstarlab"
shell.com.my,Engineering,80000,5,4,1,Excellent,"Date: 16/10/2023
Type: launches
Event: Shell Malaysia Limited launched RFID payment functionality at 88 Shell stations nationwide on Aug 1st '23.
URL: https://paultan.org/2023/10/16/touch-n-go-aiming-for-4-mil-rfid-users-by-end-2024/

Date: 14/10/2023
Type: Launches
Event: Shell Malaysia Limited launched 1.2-litre pack for premium Shell Advance 4T Long Ride 10W-40 motorcycle engine oil on Oct 12th '23.
URL: https://news.motortrader.com.my/shell-advance-4t-long-ride-now-available-in-1-2-litre-pack-2/

Date: 09/10/2023
Type: Launches
Event: Shell Malaysia Limited launches 18-litre pail size for best-selling Shell Rimula R4X heavy duty diesel engine oil.
URL: http://autoworld.com.my/news/2023/10/09/shell-rimula-r4x-engine-oil-now-available-in-18-litre-pail-size/

Date: 05/10/2023
Type: Launches
Event: Shell Malaysia Limited launched Star Wars Racers Collection remote-control cars - 6 designs, RM49.90 on Oct 6th '23.
URL: https://autobuzz.my/2023/10/05/shell-star-wars-racers-collection-launched-rm50-per-car-bluetooth-controlled/

Date: 03/10/2023
Type: Partners With
Event: Shell Malaysia Limited partnered with Bintuluport on Oct 4th '23.
URL: https://www.shell.com.my/media/2023-press-releases/shell-mds-conducts-emergency-response-exercise-with-bintulu-authorities.html"
agoda.com,Entertainment,5000,5,2,1,Excellent,"Date: 07/11/2023
Type: launches
Event: Agoda Company Pte. Ltd. launched TV ad in India on Oct 7th '23.
URL: https://skift.com/2023/11/07/agodas-growing-focus-on-india-celebrity-endorsements-and-partnerships/

Date: 02/11/2023
Type: Launches
Event: Agoda Company Pte. Ltd. launched first-ever television advertisement in India on Nov 1st '23.
URL: https://www.exchange4media.com/advertising-news/ayushmann-khurrana-turns-globetrotter-in-first-ever-agoda-tvc-130755.html

Date: 01/11/2023
Type: Launches
Event: Agoda Company Pte. Ltd. launches TV commercial.
URL: https://www.travelandtourworld.com/news/article/in-india-agoda-introduces-its-first-tv-commercial/

Date: 30/10/2023
Type: Partners With
Event: Mastercard partnered with Agoda Company Pte. Ltd. on Oct 1st '23.
URL: https://www.baypayforum.com/news/mastercard-partners-with-live-nation

Date: 30/10/2023
Type: Partners With
Event: Mastercard International Incorporated partners with Agoda Company Pte. Ltd..
URL: https://www.traveldailynews.asia/technology/mastercard-and-agoda-expand-partnership-to-innovate-b2b-payments-in-travel-sector/"
paynet.my,"Education, Colleges & Universities",5000,5,1,1,Good,"Date: 05/11/2023
Type: launches
Event: Paynet launches cross-border inter-operable QR Payments.
URL: https://cj.my/136836/paynet-and-unionpay-launch-cross-border-qr-payments/

Date: 03/10/2023
Type: Partners With
Event: Paynet partners with Paywatch.
URL: https://fintechnews.my/39924/financial-inclusion/paynet-collaborates-with-paywatch-to-roll-out-earned-wage-access-solution/

Date: 12/09/2023
Type: Partners With
Event: Alipay+ partnered with Paynet on Sep 1st '23.
URL: https://www.atmmarketplace.com/news/alipay-partners-with-payment-networks-for-tourist-digital-payments/

Date: 05/09/2023
Type: Partners With
Event: Bank Negara Malaysia will partner with Paynet on Sep 5th '24.
URL: https://techtrp.com/news/2023/09/06/countering-financial-fraud-bank-negaras-national-fraud-portal-on-track-for-2024-launch/

Date: 29/08/2023
Type: Partners With
Event: Ant Group will partner with Paynet on Jan 1st '24.
URL: https://techtrp.com/news/2023/08/30/ant-group-works-with-paynet-so-you-can-use-local-e-wallets-to-pay-merchants-overseas-by-2024/"
pentamaster.com.my,"Education, Colleges & Universities",5000,1,1,1,Good,"Date: 09/04/2023
Type: hires
Event: Pentamaster Group hires Roslinda Ahmad as director.
URL: https://www.islamicfinancenews.com/pentamaster-corporation.html"
tts.edu.sg,"Education, K-12 Schools",673,2,0,1,Excellent,"Date: 09/07/2023
Type: recognized_as
Event: Tanglin Trust School recognized as top three international schools.
URL: https://www.britcham.org.sg/news/award-winning-tanglin-trust-school-achieved-another-year-outstanding-international"
valmont.com,Manufacturing,11041,5,0,1,Booster activated,"Type: *** Discover Insider ***
Event: Director IT Application Development of Valmont told us they were looking into 'Organizational change (new manager, team, etc).


Date: 20/10/2023
Type: Invests Into
Event: Wealthspire invests into Valmont Industries, Inc. $351K.
URL: https://www.etfdailynews.com/2023/10/21/wealthspire-advisors-llc-invests-351000-in-valmont-industries-inc-nysevmi/

Date: 18/10/2023
Type: Partners With
Event: Valmont Industries, Inc. partners with Chattanooga State.
URL: https://www.wdef.com/driving-our-economy-forward-chatt-state-and-valmont-industries/

Date: 16/10/2023
Type: Partners With
Event: Valmont Industries, Inc. partnered with FieldSync Services on Oct 18th '23.
URL: https://www.marketscreener.com/quote/stock/VALMONT-INDUSTRIES-INC-14816/news/Valmont-Industries-Inc-and-FieldSync-Announce-Collaboration-to-Revolutionize-Data-Acquisition-and-45085135/

Date: 10/10/2023
Type: Partners With
Event: Grande Lakes partners with Valmont Industries, Inc..
URL: https://www.prnewswire.com/news-releases/the-ritz-carlton-spa-orlando-grande-lakes-announces-new-partnership-with-luxury-swiss-skincare-brand-valmont-301953910.html

Date: 09/10/2023
Type: Partners With
Event: Perfect Corp. partners with Valmont Industries, Inc..
URL: https://www.globenewswire.com/news-release/2023/10/10/2757504/0/en/Artificial-Intelligence-in-Retail-Market-to-Cross-USD-55-53-billion-by-2030-and-exhibit-a-CAGR-of-34-1.html"
